Tipo;Cor;Pigmento;Quant OP (kg);;;
Efeito Bramathi;Preto;Preto;0,004829;;;
Colorflex;Algodão Egípcio;Amarelo Óxido;0,001284;;;
Colorflex;Algodão Egípcio;Preto;0,000034;;;
Colorflex;Algodão Egípcio;Vermelho Óxido;0,000020;;;
Colorflex;Crômio;Preto;0,000162;;;
Colorflex;Crômio;Amarelo Óxido;0,000739;;;
Colorflex;Elefante;Amarelo Óxido;0,002548;;;
Colorflex;Elefante;Preto;0,000694;;;
Colormanta;Preto;Preto;0,004992;;;
Colormax;Amarelo Milho;Amarelo Limpo;0,001789;;;
Colormax;Amarelo Milho;Amarelo Óxido;0,001700;;;
Colormax;Branco Gelo;Amarelo Óxido;0,000104;;;
Colormax;Branco Gelo;Preto;0,000083;;;
Colormax;Castanha;Preto;0,000295;;;
Colormax;Castanha;Vermelho Óxido;0,003000;;;
Colormax;Castanha;Amarelo Óxido;0,011520;;;
Colormax;Céu Aracaju;Azul;0,001669;;;
Colormax;Concreto;Amarelo Óxido;0,006159;;;
Colormax;Concreto;Preto;0,001084;;;
Colormax;Concreto;Vermelho Óxido;0,000560;;;
Colormax;Dunas de Pirambu;Preto;0,000089;;;
Colormax;Dunas de Pirambu;Amarelo Óxido;0,000975;;;
Colormax;Dunas de Pirambu;Vermelho Óxido;0,000016;;;
Colormax;Jardim de Estância;Amarelo Óxido;0,000720;;;
Colormax;Jardim de Estância;Amarelo Limpo;0,001277;;;
Colormax;Jardim de Estância;Verde;0,000700;;;
Colormax;Marfim;Amarelo Limpo;0,000492;;;
Colormax;Marfim;Amarelo Óxido;0,002748;;;
Colormax;Palha;Amarelo Limpo;0,000070;;;
Colormax;Palha;Preto;0,000103;;;
Colormax;Palha;Amarelo Óxido;0,000697;;;
Colormax;Pérola de Itabaiana;Amarelo Óxido;0,003454;;;
Colormax;Pessego;Vermelho Limpo;0,000162;;;
Colormax;Pessego;Amarelo Óxido;0,003892;;;
Colormax;Piscina do Abais;Amarelo Óxido;0,001600;;;
Colormax;Piscina do Abais;Verde;0,002900;;;
Colormax;Piscina do Abais;Amarelo Limpo;0,000900;;;
Colormax;Piscina do Abais;Azul;0,001766;;;
Colormax;Rosa das Flores;Vermelho Limpo;0,001037;;;
Colormax;Sertão;Vermelho Limpo;0,000070;;;
Colormax;Sertão;Amarelo Limpo;0,000730;;;
Colormax;Sertão;Amarelo Óxido;0,007626;;;
Colorpiso;Amarelo Demarcação;Amarelo Limpo;0,005537;;;
Colorpiso;Amarelo Demarcação;Amarelo Óxido;0,012158;;;
Colorpiso;Amarelo Demarcação;Vermelho Óxido;0,000900;;;
Colorpiso;Azul;Preto;0,000300;;;
Colorpiso;Azul;Vermelho Óxido;0,000500;;;
Colorpiso;Azul;Azul;0,016112;;;
Colorpiso;Cinza Escuro;Amarelo Óxido;0,004000;;;
Colorpiso;Cinza Escuro;Vermelho Óxido;0,000260;;;
Colorpiso;Cinza Escuro;Preto;0,007639;;;
Colorpiso;Cinza Médio;Preto;0,003128;;;
Colorpiso;Cinza Médio;Vermelho Limpo;0,000114;;;
Colorpiso;Cinza Médio;Azul;0,000185;;;
Colorpiso;Concreto;Amarelo Óxido;0,005838;;;
Colorpiso;Concreto;Preto;0,000805;;;
Colorpiso;Preto;Preto;0,010055;;;
Colorpiso;Verde;Verde;0,017800;;;
Colorpiso;Verde;Amarelo Óxido;0,008060;;;
Colorpiso;Verde;Preto;0,000273;;;
Colorpiso;Vermelho Demarcação;Vermelho Óxido;0,010000;;;
Colorpiso;Vermelho Demarcação;Vermelho Limpo;0,003460;;;
Colorpiso;Vermelho Demarcação;Amarelo Limpo;0,002579;;;
Colorprime Rústico;Armadilha de Metal;Preto;0,007088;;;
Colorprime Rústico;Armadilha de Metal;Vermelho Óxido;0,004962;;;
Colorprime Rústico;Bronze;Amarelo Óxido;0,001859;;;
Colorprime Rústico;Bronze;Preto;0,002632;;;
Colorprime Rústico;Bronze;Azul;0,000715;;;
Colorprime Rústico;Camurça;Vermelho Óxido;0,006373;;;
Colorprime Rústico;Camurça;Amarelo Óxido;0,002209;;;
Colorprime Rústico;Camurça;Preto;0,002124;;;
Colorprime Rústico;Cinza Urbano;Azul;0,000708;;;
Colorprime Rústico;Cinza Urbano;Preto;0,008490;;;
Colorprime Rústico;Concreto;Amarelo Óxido;0,010838;;;
Colorprime Rústico;Concreto;Preto;0,001725;;;
Colorprime Rústico;Concreto;Vermelho Óxido;0,003209;;;
Colorprime Rústico;Doce de Leite;Vermelho Óxido;0,005058;;;
Colorprime Rústico;Doce de Leite;Preto;0,002161;;;
Colorprime Rústico;Doce de Leite;Amarelo Óxido;0,025423;;;
Colorprime Rústico;Elefante Cinza;Vermelho Óxido;0,000185;;;
Colorprime Rústico;Elefante Cinza;Preto;0,000985;;;
Colorprime Rústico;Medalha de Prata;Azul;0,001410;;;
Colorprime Rústico;Medalha de Prata;Preto;0,003243;;;
Colorprime Rústico;Palha;Amarelo Óxido;0,002000;;;
Colorprime Rústico;Preto Absoluto;Preto;0,050979;;;
Colorprime Rústico;Sertão;Preto;0,001046;;;
Colorprime Rústico;Sertão;Amarelo Óxido;0,043601;;;
Colorprime Rústico;Sertão;Vermelho Óxido;0,002471;;;
Duo Plus;Algodão Egípcio;Preto;0,000050;;;
Duo Plus;Algodão Egípcio;Amarelo Óxido;0,000596;;;
Duo Plus;Amarelo Sol;Amarelo Óxido;0,015616;;;
Duo Plus;Amarelo Sol;Amarelo Limpo;0,009000;;;
Duo Plus;Azul Paraíba;Azul;0,005779;;;
Duo Plus;Azul Paraíba;Amarelo Óxido;0,006370;;;
Duo Plus;Azul Paraíba;Verde;0,006000;;;
Duo Plus;Branco Gelo;Amarelo Óxido;0,000069;;;
Duo Plus;Branco Gelo;Preto;0,000141;;;
Duo Plus;Castanha;Amarelo Óxido;0,007475;;;
Duo Plus;Castanha;Preto;0,000183;;;
Duo Plus;Castanha;Vermelho Óxido;0,001346;;;
Duo Plus;Crômio;Preto;0,000251;;;
Duo Plus;Crômio;Amarelo Óxido;0,000219;;;
Duo Plus;Elefante;Amarelo Óxido;0,001391;;;
Duo Plus;Elefante;Preto;0,001491;;;
Duo Plus;Elefante;Verde;0,000042;;;
Duo Plus;Jardim de Estância;Amarelo Óxido;0,002254;;;
Duo Plus;Jardim de Estância;Verde;0,000679;;;
Duo Plus;Jardim de Estância;Amarelo Limpo;0,001950;;;
Duo Plus;Laranja Bahia;Vermelho Limpo;0,003544;;;
Duo Plus;Laranja Bahia;Amarelo Limpo;0,011660;;;
Duo Plus;Mar Maceió;Azul;0,008353;;;
Duo Plus;Mar Maceió;Preto;0,000234;;;
Duo Plus;Mar Maceió;Amarelo Óxido;0,000500;;;
Duo Plus;Marfim;Vermelho Óxido;0,000080;;;
Duo Plus;Marfim;Amarelo Óxido;0,003787;;;
Duo Plus;Nordeste;Amarelo Óxido;0,052083;;;
Duo Plus;Nordeste;Amarelo Limpo;0,002000;;;
Duo Plus;Nordeste;Vermelho Óxido;0,001000;;;
Duo Plus;Pérola de Itabaiana;Vermelho Óxido;0,000200;;;
Duo Plus;Pérola de Itabaiana;Amarelo Óxido;0,003364;;;
Duo Plus;Preto;Preto;0,031731;;;
Duo Plus;Verde Recife;Amarelo Óxido;0,011519;;;
Duo Plus;Verde Recife;Verde;0,002026;;;
Duo Plus;Verde Recife;Amarelo Limpo;0,004194;;;
Duo Plus;Vermelho Caju;Vermelho Limpo;0,006448;;;
Duo Plus;Vermelho Caju;Vermelho Óxido;0,007440;;;
Duo Plus;Vermelho Caju;Amarelo Limpo;0,003762;;;
Cimento Queimado;Nuvem de Chuva;Azul;0,000112;;;
Cimento Queimado;Nuvem de Chuva;Preto;0,000325;;;
Cimento Queimado;Solidez Cinza;Preto;0,000179;;;
Cimento Queimado;Toque de Cinza;Preto;0,000055;;;
Cimento Queimado;Toque de Cinza;Amarelo Óxido;0,000214;;;
Cimento Queimado;Via Expressa;Preto;0,000385;;;
Esmalte Acetinado;Amarelo;Amarelo Óxido;0,002757;;;
Esmalte Acetinado;Amarelo;Vermelho Limpo;0,000834;;;
Esmalte Acetinado;Amarelo;Amarelo Limpo;0,063910;;;
Esmalte Acetinado;Azul França;Preto;0,000256;;;
Esmalte Acetinado;Azul França;Vermelho Óxido;0,002702;;;
Esmalte Acetinado;Azul França;Azul;0,024860;;;
Esmalte Acetinado;Cinza Platina;Preto;0,000311;;;
Esmalte Acetinado;Cinza Platina;Amarelo Óxido;0,002050;;;
Esmalte Acetinado;Cinza Platina;Azul;0,000270;;;
Esmalte Acetinado;Preto;Preto;0,043249;;;
Esmalte Acetinado;Vermelho;Vermelho Limpo;0,025330;;;
Esmalte Acetinado;Vermelho;Vermelho Óxido;0,006800;;;
Esmalte Acetinado;Vermelho;Amarelo Óxido;0,010664;;;
Naturalle;Naturalle Turmalina Regal;Preto;0,001600;;;
Textura Fulget;Aventura do Asfalto;Amarelo Óxido;0,000078;;;
Textura Fulget;Aventura do Asfalto;Preto;0,000113;;;
Textura Fulget;Banco de Areia;Amarelo Óxido;0,000800;;;
Textura Fulget;Banco de Areia;Vermelho Óxido;0,000144;;;
Textura Fulget;Batida de Amendoim;Preto;0,000123;;;
Textura Fulget;Batida de Amendoim;Vermelho Óxido;0,000780;;;
Textura Fulget;Batida de Amendoim;Amarelo Óxido;0,001370;;;
Textura Fulget;Brigadeirão;Vermelho Óxido;0,003229;;;
Textura Fulget;Brigadeirão;Amarelo Óxido;0,006947;;;
Textura Fulget;Brigadeirão;Preto;0,000471;;;
Textura Fulget;Bronze Montana;Preto;0,000075;;;
Textura Fulget;Bronze Montana;Amarelo Óxido;0,001357;;;
Textura Fulget;Bronze Palm Springs;Preto;0,000100;;;
Textura Fulget;Bronze Palm Springs;Amarelo Óxido;0,000850;;;
Textura Fulget;Bronze Palm Springs;Vermelho Óxido;0,000050;;;
Textura Fulget;Castanha Nordestina;Amarelo Óxido;0,002500;;;
Textura Fulget;Castanha Nordestina;Amarelo Limpo;0,000500;;;
Textura Fulget;Castanha Nordestina;Preto;0,000075;;;
Textura Fulget;Castanha Nordestina;Vermelho Óxido;0,001500;;;
Textura Fulget;Desenho de Grafite;Preto;0,000312;;;
Textura Fulget;Geléia de Laranja;Amarelo Óxido;0,008360;;;
Textura Fulget;Geléia de Laranja;Vermelho Limpo;0,000216;;;
Textura Fulget;Inspiração Poética;Vermelho Óxido;0,000400;;;
Textura Fulget;Medalha de Prata;Azul;0,000132;;;
Textura Fulget;Medalha de Prata;Preto;0,000176;;;
Textura Fulget;Moeda de Cobre;Preto;0,000050;;;
Textura Fulget;Moeda de Cobre;Vermelho Óxido;0,001700;;;
Textura Fulget;Moeda de Cobre;Amarelo Óxido;0,005580;;;
Textura Fulget;Morada Urbana;Preto;0,000090;;;
Textura Fulget;Morada Urbana;Amarelo Óxido;0,000790;;;
Textura Fulget;Música de Raíz;Vermelho Óxido;0,000204;;;
Textura Fulget;Música de Raíz;Preto;0,000100;;;
Textura Fulget;Música de Raíz;Amarelo Óxido;0,000900;;;
Textura Fulget;Ouro Monarca;Amarelo Limpo;0,001548;;;
Textura Fulget;Ouro Monarca;Azul;0,000138;;;
Textura Fulget;Ouro Monarca;Vermelho Limpo;0,000346;;;
Textura Fulget;Outono Quente;Amarelo Óxido;0,000969;;;
Textura Fulget;Outono Quente;Vermelho Óxido;0,001274;;;
Textura Fulget;Outono Quente;Preto;0,000044;;;
Textura Fulget;Preto Total;Preto;0,005500;;;
Textura Fulget;Romance Antigo;Vermelho Óxido;0,002500;;;
Colorprime Fulget;Branco Gelo;Preto;0,000399;;;
Colorprime Fulget;Chocolate;Preto;0,003546;;;
Colorprime Fulget;Chocolate;Vermelho Óxido;0,012726;;;
Colorprime Fulget;Chocolate;Amarelo Óxido;0,025110;;;
Colorprime Fulget;Cinza Escuro;Preto;0,002303;;;
Colorprime Fulget;Cinza Médio;Preto;0,000940;;;
Colorprime Fulget;Dunas de Pirambu;Amarelo Óxido;0,003437;;;
Colorprime Fulget;Dunas de Pirambu;Vermelho Óxido;0,000098;;;
Colorprime Fulget;Dunas de Pirambu;Preto;0,000112;;;
Colorprime Fulget;Marfim;Amarelo Óxido;0,008040;;;
Colorprime Fulget;Marfim;Vermelho Óxido;0,000261;;;
Colorprime Fulget;Onda Da Praia;Amarelo Óxido;0,010000;;;
Colorprime Fulget;Onda Da Praia;Preto;0,000150;;;
Colorprime Fulget;Onda Da Praia;Vermelho Óxido;0,001000;;;
Colorprime Fulget;Palha;Amarelo Óxido;0,000688;;;
Colorprime Fulget;Palha;Amarelo Limpo;0,000722;;;
Colorprime Fulget;Palha;Preto;0,000165;;;
Colorprime Fulget;Pérola;Vermelho Óxido;0,000117;;;
Colorprime Fulget;Pérola;Amarelo Óxido;0,002759;;;
Colorprime Fulget;Preto;Preto;0,020000;;;
Colorprime Fulget;Rosa;Vermelho Óxido;0,001111;;;
Colorflex;Santiago Cheio;Preto;0,007190;;;
Colorflex;Santiago Cheio;Amarelo Óxido;0,042218;;;
Colorflex;Santiago Cheio;Amarelo Limpo;0,000278;;;
Colorflex;Santiago Cheio;Vermelho Óxido;0,004277;;;
Craqueado Classic;Elefante Cinza;Preto;0,000170;;;
Craqueado Classic;Elefante Cinza;Amarelo Óxido;0,000040;;;
Ecomax;Amarelo Milho;Amarelo Limpo;0,001789;;;
Ecomax;Amarelo Milho;Amarelo Óxido;0,001700;;;
Ecomax;Branco Gelo;Amarelo Óxido;0,000104;;;
Ecomax;Branco Gelo;Preto;0,000083;;;
Ecomax;Castanha;Preto;0,000295;;;
Ecomax;Castanha;Vermelho Óxido;0,003000;;;
Ecomax;Castanha;Amarelo Óxido;0,011520;;;
Ecomax;Céu Aracaju;Azul;0,001669;;;
Ecomax;Concreto;Amarelo Óxido;0,006159;;;
Ecomax;Concreto;Preto;0,001084;;;
Ecomax;Concreto;Vermelho Óxido;0,000560;;;
