Tipo;Cor;Pigmento;Quant OP (kg)
Efeito Bramathi;Preto;Preto;0,004829
Colorflex;Algodao Egipcio;Amarelo Oxido;0,001284
Colorflex;Algodao Egipcio;Preto;0,000034
Colorflex;Algodao Egipcio;Vermelho Oxido;0,00002
Colorflex;Cromio;Preto;0,000162
Colorflex;Cromio;Amarelo Oxido;0,000739
Colorflex;Elefante;Amarelo Oxido;0,002548
Colorflex;Elefante;Preto;0,000694
Colormanta;Preto;Preto;0,004992
Colormax;Amarelo Milho;Amarelo Limpo;0,001789
Colormax;Amarelo Milho;Amarelo Oxido;0,0017
Colormax;Branco Gelo;Amarelo Oxido;0,000104
Colormax;Branco Gelo;Preto;0,000083
Colormax;Castanha;Preto;0,000295
Colormax;Castanha;Vermelho Oxido;0,003
Colormax;Castanha;Amarelo Oxido;0,01152
Colormax;Ceu Aracaju;Azul;0,001669
Colormax;Concreto;Amarelo Oxido;0,006159
Colormax;Concreto;Preto;0,001084
Colormax;Concreto;Vermelho Oxido;0,00056
Colormax;Dunas de Pirambu;Preto;0,000089
Colormax;Dunas de Pirambu;Amarelo Oxido;0,000975
Colormax;Dunas de Pirambu;Vermelho Oxido;0,000016
Colormax;Jardim de Estancia;Amarelo Oxido;0,00072
Colormax;Jardim de Estancia;Amarelo Limpo;0,001277
Colormax;Jardim de Estancia;Verde;0,0007
Colormax;Marfim;Amarelo Limpo;0,000492
Colormax;Marfim;Amarelo Oxido;0,002748
Colormax;Palha;Amarelo Limpo;0,00007
Colormax;Palha;Preto;0,000103
Colormax;Palha;Amarelo Oxido;0,000697
Colormax;Perola de Itabaiana;Amarelo Oxido;0,003454
Colormax;Pessego;Vermelho Limpo;0,000162
Colormax;Pessego;Amarelo Oxido;0,003892
Colormax;Piscina do Abais;Amarelo Oxido;0,0016
Colormax;Piscina do Abais;Verde;0,0029
Colormax;Piscina do Abais;Amarelo Limpo;0,0009
Colormax;Piscina do Abais;Azul;0,001766
Colormax;Rosa das Flores;Vermelho Limpo;0,001037
Colormax;Sertao;Vermelho Limpo;0,00007
Colormax;Sertao;Amarelo Limpo;0,00073
Colormax;Sertao;Amarelo Oxido;0,007626
Colorpiso;Amarelo Demarcacao;Amarelo Limpo;0,005537
Colorpiso;Amarelo Demarcacao;Amarelo Oxido;0,012158
Colorpiso;Amarelo Demarcacao;Vermelho Oxido;0,0009
Colorpiso;Azul;Preto;0,0003
Colorpiso;Azul;Vermelho Oxido;0,0005
Colorpiso;Azul;Azul;0,016112
Colorpiso;Cinza Escuro;Amarelo Oxido;0,004
Colorpiso;Cinza Escuro;Vermelho Oxido;0,00026
Colorpiso;Cinza Escuro;Preto;0,007639
Colorpiso;Cinza Medio;Preto;0,003128
Colorpiso;Cinza Medio;Vermelho Limpo;0,000114
Colorpiso;Cinza Medio;Azul;0,000185
Colorpiso;Concreto;Amarelo Oxido;0,005838
Colorpiso;Concreto;Preto;0,000805
Colorpiso;Preto;Preto;0,010055
Colorpiso;Verde;Verde;0,0178
Colorpiso;Verde;Amarelo Oxido;0,00806
Colorpiso;Verde;Preto;0,000273
Colorpiso;Vermelho Demarcacao;Vermelho Oxido;0,01
Colorpiso;Vermelho Demarcacao;Vermelho Limpo;0,00346
Colorpiso;Vermelho Demarcacao;Amarelo Limpo;0,002579
Colorprime Rustico;Armadilha de Metal;Preto;0,007088
Colorprime Rustico;Armadilha de Metal;Vermelho Oxido;0,004962
Colorprime Rustico;Bronze;Amarelo Oxido;0,001859
Colorprime Rustico;Bronze;Preto;0,002632
Colorprime Rustico;Bronze;Azul;0,000715
Colorprime Rustico;Camurca;Vermelho Oxido;0,006373
Colorprime Rustico;Camurca;Amarelo Oxido;0,002209
Colorprime Rustico;Camurca;Preto;0,002124
Colorprime Rustico;Cinza Urbano;Azul;0,000708
Colorprime Rustico;Cinza Urbano;Preto;0,00849
Colorprime Rustico;Concreto;Amarelo Oxido;0,010838
Colorprime Rustico;Concreto;Preto;0,001725
Colorprime Rustico;Concreto;Vermelho Oxido;0,003209
Colorprime Rustico;Doce de Leite;Vermelho Oxido;0,005058
Colorprime Rustico;Doce de Leite;Preto;0,002161
Colorprime Rustico;Doce de Leite;Amarelo Oxido;0,025423
Colorprime Rustico;Elefante Cinza;Vermelho Oxido;0,000185
Colorprime Rustico;Elefante Cinza;Preto;0,000985
Colorprime Rustico;Medalha de Prata;Azul;0,00141
Colorprime Rustico;Medalha de Prata;Preto;0,003243
Colorprime Rustico;Palha;Amarelo Oxido;0,002
Colorprime Rustico;Preto Absoluto;Preto;0,050979
Colorprime Rustico;Sertao;Preto;0,001046
Colorprime Rustico;Sertao;Amarelo Oxido;0,043601
Colorprime Rustico;Sertao;Vermelho Oxido;0,002471
Duo Plus;Algodao Egipcio;Preto;0,00005
Duo Plus;Algodao Egipcio;Amarelo Oxido;0,000596
Duo Plus;Amarelo Sol;Amarelo Oxido;0,015616
Duo Plus;Amarelo Sol;Amarelo Limpo;0,009
Duo Plus;Azul Paraiba;Azul;0,005779
Duo Plus;Azul Paraiba;Amarelo Oxido;0,00637
Duo Plus;Azul Paraiba;Verde;0,006
Duo Plus;Branco Gelo;Amarelo Oxido;0,000069
Duo Plus;Branco Gelo;Preto;0,000141
Duo Plus;Castanha;Amarelo Oxido;0,007475
Duo Plus;Castanha;Preto;0,000183
Duo Plus;Castanha;Vermelho Oxido;0,001346
Duo Plus;Cromio;Preto;0,000251
Duo Plus;Cromio;Amarelo Oxido;0,000219
Duo Plus;Elefante;Amarelo Oxido;0,001391
Duo Plus;Elefante;Preto;0,001491
Duo Plus;Elefante;Verde;0,000042
Duo Plus;Jardim de Estancia;Amarelo Oxido;0,002254
Duo Plus;Jardim de Estancia;Verde;0,000679
Duo Plus;Jardim de Estancia;Amarelo Limpo;0,00195
Duo Plus;Laranja Bahia;Vermelho Limpo;0,003544
Duo Plus;Laranja Bahia;Amarelo Limpo;0,01166
Duo Plus;Mar Maceio;Azul;0,008353
Duo Plus;Mar Maceio;Preto;0,000234
Duo Plus;Mar Maceio;Amarelo Oxido;0,0005
Duo Plus;Marfim;Vermelho Oxido;0,00008
Duo Plus;Marfim;Amarelo Oxido;0,003787
Duo Plus;Nordeste;Amarelo Oxido;0,052083
Duo Plus;Nordeste;Amarelo Limpo;0,002
Duo Plus;Nordeste;Vermelho Oxido;0,001
Duo Plus;Perola de Itabaiana;Vermelho Oxido;0,0002
Duo Plus;Perola de Itabaiana;Amarelo Oxido;0,003364
Duo Plus;Preto;Preto;0,031731
Duo Plus;Verde Recife;Amarelo Oxido;0,011519
Duo Plus;Verde Recife;Verde;0,002026
Duo Plus;Verde Recife;Amarelo Limpo;0,004194
Duo Plus;Vermelho Caju;Vermelho Limpo;0,006448
Duo Plus;Vermelho Caju;Vermelho Oxido;0,00744
Duo Plus;Vermelho Caju;Amarelo Limpo;0,003762
Cimento Queimado;Nuvem de Chuva;Azul;0,000112
Cimento Queimado;Nuvem de Chuva;Preto;0,000325
Cimento Queimado;Solidez Cinza;Preto;0,000179
Cimento Queimado;Toque de Cinza;Preto;0,000055
Cimento Queimado;Toque de Cinza;Amarelo Oxido;0,000214
Cimento Queimado;Via Expressa;Preto;0,000385
Esmalte Acetinado;Amarelo;Amarelo Oxido;0,002757
Esmalte Acetinado;Amarelo;Vermelho Limpo;0,000834
Esmalte Acetinado;Amarelo;Amarelo Limpo;0,06391
Esmalte Acetinado;Azul França;Preto;0,000256
Esmalte Acetinado;Azul França;Vermelho Oxido;0,002702
Esmalte Acetinado;Azul França;Azul;0,02486
Esmalte Acetinado;Cinza Platina;Preto;0,000311
Esmalte Acetinado;Cinza Platina;Amarelo Oxido;0,00205
Esmalte Acetinado;Cinza Platina;Azul;0,00027
Esmalte Acetinado;Preto;Preto;0,043249
Esmalte Acetinado;Vermelho;Vermelho Limpo;0,02533
Esmalte Acetinado;Vermelho;Vermelho Oxido;0,0068
Esmalte Acetinado;Vermelho;Amarelo Oxido;0,010664
Naturalle;Naturalle Turmalina Regal;Preto;0,0016
Textura Fulget;Aventura do Asfalto;Amarelo Oxido;0,000078
Textura Fulget;Aventura do Asfalto;Preto;0,000113
Textura Fulget;Banco de Areia;Amarelo Oxido;0,0008
